indicator,market,lag_days,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,granger_p,mutual_info,regime,computed_at,min_p,category,is_significant,unexpected,abs_pearson
gtrends_layoffs India,ret_BANKNIFTY,30,-0.05984660578015148,0.02299900202837405,0.016418900799427982,0.5331506946449033,0.011928416779287162,0.49737303569381763,0.0002183952740590628,0.006900857153000484,all,1773591017.83056,0.02299900202837405,digital,True,False,0.05984660578015148
rice_mandi,ret_NIFTYIT,25,0.057982488665336895,0.02636532212020244,0.07818217862157953,0.002730761605174916,0.052625705493573496,0.0025289371604723383,0.16269353876502157,0.05226962749954023,all,1773591017.83056,0.0025289371604723383,other,True,False,0.057982488665336895
FII_net,ret_NIFTY50,15,-0.05453650375100089,0.060658430997897785,-0.0642005761285216,0.027171667986347906,-0.043164995088072006,0.02610625301588378,0.9097659467129493,0.0,all,1773591017.83056,0.02610625301588378,other,True,False,0.05453650375100089
wheat_mandi,ret_NIFTYIT,28,-0.054191662269480634,0.03808333287488218,-0.07973574200080315,0.002256844375479539,-0.05250191163580075,0.002606510583876854,0.13239573650559314,0.0,all,1773591017.83056,0.002256844375479539,other,True,False,0.054191662269480634
gtrends_layoffs India,ret_NIFTY50,30,-0.05253384366102957,0.045940936192475024,-0.01268036726648567,0.6301924243822141,-0.008273799202806319,0.6377300962072494,5.2569890803677e-06,0.010404351594237138,all,1773591017.83056,0.045940936192475024,digital,True,False,0.05253384366102957
moon_phase,ret_NIFTY50,3,0.04835878165691096,0.06271958441640786,0.05906720087248659,0.022968251144735937,0.03921102293468049,0.02372368476254294,0.4161812727107138,0.0,all,1773591017.83056,0.022968251144735937,other,True,False,0.04835878165691096
gtrends_Nifty,ret_NIFTY50,0,-0.0448633635797935,0.08616732562100571,-0.07813622567796075,0.0027743868831294274,-0.05360714612999665,0.0021193155872915774,,0.05007329239936631,all,1773591017.83056,0.0021193155872915774,digital,True,False,0.0448633635797935
GST_collections,ret_NIFTYIT,13,-0.044485230104450726,0.0899498078385133,-0.07567096837139271,0.0038881700028293377,-0.04993794558713132,0.0043326597362818055,0.09022276227715327,0.0017329754871466818,all,1773591017.83056,0.0038881700028293377,other,True,False,0.044485230104450726
moon_phase,ret_BANKNIFTY,3,0.04325893508382429,0.09608446345872672,0.053627414958663404,0.03906257477522994,0.03555486614230706,0.040363943669142456,0.5250596627390158,0.0,all,1773591017.83056,0.03906257477522994,other,True,False,0.04325893508382429
cement_dispatches,ret_NIFTY50,22,-0.04062321268835386,0.12231687852006207,-0.0819137743178653,0.001811069866861709,-0.05441244411184123,0.0019218373526706523,0.713547398610517,0.023509693372223417,all,1773591017.83056,0.001811069866861709,other,True,False,0.04062321268835386
UPI_volumes,ret_NIFTYIT,23,-0.03795674864961543,0.14898491907678954,-0.06822031329197385,0.009435853313518296,-0.04588785305793166,0.00891856104423996,0.3880758963868314,0.024858710836582087,all,1773591017.83056,0.00891856104423996,other,True,False,0.03795674864961543
moon_phase,ret_NIFTYFMCG,13,-0.03508392205136261,0.18015478507216146,-0.055985699587048236,0.03237175642353039,-0.037176638256776647,0.03325795715813629,0.8787631326589531,0.005394841456105581,all,1773591017.83056,0.03237175642353039,other,True,False,0.03508392205136261
auto_sales,ret_NIFTY50,13,-0.03368161206331578,0.19913247360067526,-0.07929793763008924,0.002470388492640536,-0.053193229247909556,0.0023666916320820804,0.9660173342629161,0.017185592373333947,all,1773591017.83056,0.0023666916320820804,other,True,False,0.03368161206331578
power_consumption,ret_NIFTYIT,6,-0.03213311424377864,0.219954621213915,-0.062808317898385,0.01642226054630106,-0.04238861764310447,0.015276444020527927,0.6692719635085747,0.04549337489654093,all,1773591017.83056,0.015276444020527927,other,True,False,0.03213311424377864
onion_mandi,ret_NIFTYIT,2,0.029129908707473826,0.2624162229393168,0.08392468081587703,0.0012215159734015081,0.06435375870040529,0.0012162641856452937,0.0861808765281135,0.017527154611546525,all,1773591017.83056,0.0012162641856452937,other,True,False,0.029129908707473826
railway_freight,ret_NIFTYIT,30,-0.02905593546248513,0.2700186784310303,-0.05509063165788013,0.03639429194340402,-0.037176940089561454,0.03436304994926706,0.971475211966724,0.015581802279506007,all,1773591017.83056,0.03436304994926706,other,True,False,0.02905593546248513
moon_phase,ret_NIFTYIT,13,-0.02857744234161825,0.27255248820941197,-0.05506319161971786,0.034406826112290415,-0.036948233889118554,0.03344207135866892,0.6206022530547499,0.0,all,1773591017.83056,0.03344207135866892,other,True,False,0.02857744234161825
auto_sales,ret_BANKNIFTY,10,-0.024050059656438492,0.3589583940731848,-0.054444855386668864,0.037713574053377955,-0.03694743828580479,0.03460721958191857,0.9887808374686998,0.04218580586140863,all,1773591017.83056,0.03460721958191857,other,True,False,0.024050059656438492
wheat_mandi,ret_NIFTY50,28,-0.02391732723395716,0.36013626707096463,-0.0666233310015371,0.010724226065118555,-0.04381358575958356,0.011959865168768836,0.09334775577775489,0.03202142667775831,all,1773591017.83056,0.010724226065118555,other,True,False,0.02391732723395716
